,total_item_quantity,pct_funded_1mo,school_kipp,total_price_excluding_optional_support
0,14.0,0.0,0,398.43
1,25.0,1.0,0,168.86
2,1.0,0.0,0,139.44
3,8.0,0.7507667892512169,0,655.33
4,1.0,0.9999999999999998,0,270.22
5,2.0,0.0,0,739.71
6,13.0,0.0,0,124.3
7,2.0,0.0,0,204.1
8,5.0,0.0,0,106.39
9,18.0,1.0,0,298.37
10,1.0,0.8505020979680353,0,212.11
11,2.0,0.7104795737122558,0,230.83
12,9.0,1.0,0,434.43
13,1.0,0.0,0,395.59
14,1.0,0.11160511750294891,0,661.26
15,4.0,0.0,0,311.86
16,135.0,0.0,0,468.98
17,1.0,0.0,0,661.28
18,2.0,1.0,0,286.18
19,72.0,0.0,0,319.7
20,11.0,0.9999999999999999,0,478.41
21,28.0,1.0,0,349.73
22,40.0,1.0,0,231.55
23,1.0,0.0,0,298.85
24,2.0,0.0,0,444.39
25,1.0,0.0,0,500.57
26,3.0,1.0,0,469.52
27,6.0,1.0,0,148.05
28,1.0,0.0,0,797.94
29,20.0,0.11318775363719183,0,362.23
30,1.0,0.009990740289487791,0,410.38
31,1.0,0.0,0,252.34
32,9.0,0.0,0,689.28
33,19.0,1.0001503608660787,0,399.04
34,1.0,0.0,0,259.86
35,3.0,0.0,0,591.58
36,22.0,0.0,0,110.35
37,12.0,0.0,0,296.22
38,48.0,1.0,0,336.55
39,16.0,0.0,0,317.05
40,75.0,0.0,0,433.56
41,1.0,0.0,0,565.06
42,1.0,0.09879756138702137,0,414.99
43,1.0,0.15409464242757484,0,290.99
44,5.0,0.0,0,428.19
45,13.0,0.0,0,337.29
46,9.0,0.0,0,413.73
47,16.0,0.0,0,490.97
48,4.0,1.0,0,338.31
49,14.0,0.0,0,197.85
50,1.0,0.0,0,659.26
51,1.0,0.0,0,453.89
52,14.0,0.0,0,642.76
53,1.0,0.0,0,317.99
54,60.0,0.0,0,1176.4
55,5.0,0.0,0,442.74
56,23.0,0.0,0,277.24
57,18.0,0.0,0,454.96
58,1.0,0.0,0,403.1
59,6.0,0.0,0,159.3
60,10.0,1.0,0,132.48
61,14.0,1.0,0,467.77
62,3.0,1.0,0,326.72
63,5.0,0.09606122927134043,0,384.13
64,7.0,0.0,0,375.17
65,13.0,0.0,0,399.71
66,76.0,0.6514485461575128,0,755.24
67,7.0,1.0,0,423.07
68,45.0,1.0,0,354.42
69,40.0,0.1946994708516123,0,442.22
70,8.0,0.35002347718444526,0,234.27
71,4.0,1.0,0,139.39
72,3.0,1.0,0,382.47
73,1.0,0.2049582962450137,0,303.33
74,5.0,0.0,0,461.72
75,20.0,1.0000000000000002,0,117.82
76,21.0,1.0,0,211.6
77,28.0,0.22937120794263652,0,362.6
78,1.0,0.0,0,565.06
79,1.0,1.0,0,319.06
80,9.0,0.0248326822325187,0,330.21
81,5.0,1.0,0,586.2
82,1.0,0.0,0,218.69
83,6.0,1.0,0,462.14
84,6.0,0.00950592381349841,0,431.31
85,7.0,0.12867993220764548,0,159.31
86,4.0,0.0,0,339.76
87,1.0,0.0,0,811.51
88,2.0,0.0,0,851.51
89,60.0,0.0,0,446.31
90,21.0,0.0,0,366.4
91,2.0,0.1679792415896572,0,219.67
92,11.0,0.0,0,528.51
93,1.0,0.0,0,648.89
